Location,LocationID,region,sub.region,Data
Afghanistan,1,Asia,Southern Asia,regions
Aland_Islands,NA,Europe,Northern Europe,regions
Albania,2,Europe,Southern Europe,regions
Algeria,3,Africa,Northern Africa,regions
American_Samoa,4,Oceania,Polynesia,regions
Andorra,5,Europe,Southern Europe,regions
Angola,6,Africa,Middle Africa,regions
Anguilla,7,Americas,Caribbean,regions
Antarctica,8,,,regions
Antigua_Barbuda,9,Americas,Caribbean,regions
Argentina,10,Americas,South America,regions
Armenia,11,Asia,Western Asia,regions
Aruba,12,Americas,Caribbean,regions
Australia,13,Oceania,Australia and New Zealand,regions
Austria,14,Europe,Western Europe,regions
Azerbaijan,15,Asia,Western Asia,regions
Bahamas,16,Americas,Caribbean,regions
Bahrain,17,Asia,Western Asia,regions
Bangladesh,18,Asia,Southern Asia,regions
Barbados,19,Americas,Caribbean,regions
Belarus,20,Europe,Eastern Europe,regions
Belgium,21,Europe,Western Europe,regions
Belize,22,Americas,Central America,regions
Benin,23,Africa,Western Africa,regions
Bermuda,24,Americas,Northern America,regions
Bhutan,25,Asia,Southern Asia,regions
Bolivia,26,Americas,South America,regions
Bonaire_SaintEustatius_Saba,NA,Americas,Caribbean,regions
Bosnia_Herzegovina,27,Europe,Southern Europe,regions
Botswana,28,Africa,Southern Africa,regions
Bouvet_Island,29,,,regions
Brazil,30,Americas,South America,regions
British_Indian_Ocean_Territory,31,,,regions
Brunei,32,Asia,South-Eastern Asia,regions
Bulgaria,33,Europe,Eastern Europe,regions
Burkina_Faso,34,Africa,Western Africa,regions
Burundi,36,Africa,Eastern Africa,regions
Cape_Verde,40,Africa,Western Africa,regions
Cambodia,37,Asia,South-Eastern Asia,regions
Cameroon,38,Africa,Middle Africa,regions
Canada,39,Americas,Northern America,regions
Cayman_Islands,41,Americas,Caribbean,regions
Central_African_Republic,42,Africa,Middle Africa,regions
Chad,43,Africa,Middle Africa,regions
Chile,45,Americas,South America,regions
China,46,Asia,Eastern Asia,regions
Christmas_Island,47,,,regions
Cocos_Islands,48,,,regions
Colombia,49,Americas,South America,regions
Comoros,50,Africa,Eastern Africa,regions
Republic_of_Congo,182,Africa,Middle Africa,regions
Democratic_Republic_ of_the_ Congo,60,Africa,Middle Africa,regions
Cook_Islands,51,Oceania,Polynesia,regions
Costa_Rica,52,Americas,Central America,regions
Cote_dIvore,53,Africa,Western Africa,regions
Croatia,54,Europe,Southern Europe,regions
Cuba,55,Americas,Caribbean,regions
Curacao,56,Americas,Caribbean,regions
Cyprus,57,Asia,Western Asia,regions
Czech_Republic,58,Europe,Eastern Europe,regions
Denmark,61,Europe,Northern Europe,regions
Djibouti,62,Africa,Eastern Africa,regions
Dominica,63,Americas,Caribbean,regions
Dominican_Republic,64,Americas,Caribbean,regions
Ecuador,66,Americas,South America,regions
Egypt,67,Africa,Northern Africa,regions
El_Salvador,68,Americas,Central America,regions
Equatorial_Guinea,69,Africa,Middle Africa,regions
Eritrea,70,Africa,Eastern Africa,regions
Estonia,71,Europe,Northern Europe,regions
Ethiopia,72,Africa,Eastern Africa,regions
Falkland_Islands,73,Americas,South America,regions
Faroe_Islands,74,Europe,Northern Europe,regions
Fiji,75,Oceania,Melanesia,regions
Finland,76,Europe,Northern Europe,regions
France,77,Europe,Western Europe,regions
French_Guiana,78,Americas,South America,regions
French_Polynesia,79,Oceania,Polynesia,regions
French_Southern_Territories,80,,,regions
Gabon,81,Africa,Middle Africa,regions
Gambia,82,Africa,Western Africa,regions
Georgia,84,Asia,Western Asia,regions
Germany,85,Europe,Western Europe,regions
Ghana,86,Africa,Western Africa,regions
Gibraltar,87,Europe,Southern Europe,regions
Greece,88,Europe,Southern Europe,regions
Greenland,89,Americas,Northern America,regions
Grenada,90,Americas,Caribbean,regions
Guadeloupe,91,Americas,Caribbean,regions
Guam,92,Oceania,Micronesia,regions
Guatemala,93,Americas,Central America,regions
Guernsey,94,Europe,Northern Europe,regions
Guinea,95,Africa,Western Africa,regions
Guinea-Bissau,96,Africa,Western Africa,regions
Guyana,97,Americas,South America,regions
Haiti,98,Americas,Caribbean,regions
Heard_and_McDonald_Islands,99,,,regions
Holy_See,NA,Europe,Southern Europe,regions
Honduras,100,Americas,Central America,regions
Hong_Kong,101,Asia,Eastern Asia,regions
Hungary,102,Europe,Eastern Europe,regions
Iceland,103,Europe,Northern Europe,regions
India,104,Asia,Southern Asia,regions
Indonesia,105,Asia,South-Eastern Asia,regions
Iran,106,Asia,Southern Asia,regions
Iraq,107,Asia,Western Asia,regions
Ireland,108,Europe,Northern Europe,regions
Isle_of_Man,109,Europe,Northern Europe,regions
Israel,110,Asia,Western Asia,regions
Italy,111,Europe,Southern Europe,regions
Jamaica,112,Americas,Caribbean,regions
Japan,113,Asia,Eastern Asia,regions
Jersey,114,Europe,Northern Europe,regions
Jordan,115,Asia,Western Asia,regions
Kazakhstan,116,Asia,Central Asia,regions
Kenya,117,Africa,Eastern Africa,regions
Kiribati,118,Oceania,Micronesia,regions
Democratic_Peoples_Republic_of_Korea,59,Asia,Eastern Asia,regions
Republic_of_Korea,183,Asia,Eastern Asia,regions
Kuwait,120,Asia,Western Asia,regions
Kyrgyzstan,121,Asia,Central Asia,regions
Laos,122,Asia,South-Eastern Asia,regions
Latvia,123,Europe,Northern Europe,regions
Lebanon,124,Asia,Western Asia,regions
Lesotho,125,Africa,Southern Africa,regions
Liberia,126,Africa,Western Africa,regions
Libya,127,Africa,Northern Africa,regions
Liechtenstein,128,Europe,Western Europe,regions
Lithuania,129,Europe,Northern Europe,regions
Luxembourg,130,Europe,Western Europe,regions
Macao,131,Asia,Eastern Asia,regions
Macedonia,132,Europe,Southern Europe,regions
Madagascar,133,Africa,Eastern Africa,regions
Malawi,134,Africa,Eastern Africa,regions
Malaysia,135,Asia,South-Eastern Asia,regions
Maldives,136,Asia,Southern Asia,regions
Mali,137,Africa,Western Africa,regions
Malta,138,Europe,Southern Europe,regions
Marshall_Islands,139,Oceania,Micronesia,regions
Martinique,140,Americas,Caribbean,regions
Mauritania,141,Africa,Western Africa,regions
Mauritius,142,Africa,Eastern Africa,regions
Mayotte,143,Africa,Eastern Africa,regions
Mexico,144,Americas,Central America,regions
Micronesia,145,Oceania,Micronesia,regions
Moldova,146,Europe,Eastern Europe,regions
Monaco,147,Europe,Western Europe,regions
Mongolia,148,Asia,Eastern Asia,regions
Montenegro,149,Europe,Southern Europe,regions
Montserrat,150,Americas,Caribbean,regions
Morocco,151,Africa,Northern Africa,regions
Mozambique,152,Africa,Eastern Africa,regions
Myanmar,153,Asia,South-Eastern Asia,regions
Namibia,154,Africa,Southern Africa,regions
Nauru,155,Oceania,Micronesia,regions
Nepal,156,Asia,Southern Asia,regions
Netherlands,157,Europe,Western Europe,regions
New_Caledonia,159,Oceania,Melanesia,regions
New_Zealand,160,Oceania,Australia and New Zealand,regions
Nicaragua,161,Americas,Central America,regions
Niger,162,Africa,Western Africa,regions
Nigeria,163,Africa,Western Africa,regions
Niue,164,Oceania,Polynesia,regions
Norfolk_Island,165,Oceania,Australia and New Zealand,regions
Northern_Mariana_Islands,166,Oceania,Micronesia,regions
Norway,167,Europe,Northern Europe,regions
Oman,168,Asia,Western Asia,regions
Pakistan,169,Asia,Southern Asia,regions
Palau,170,Oceania,Micronesia,regions
Palestinian_Territories,171,Asia,Western Asia,regions
Panama,172,Americas,Central America,regions
Papua New Guinea,173,Oceania,Melanesia,regions
Paraguay,174,Americas,South America,regions
Peru,175,Americas,South America,regions
Philippines,176,Asia,South-Eastern Asia,regions
Pitcairn_Islands,177,Oceania,Polynesia,regions
Poland,178,Europe,Eastern Europe,regions
Portugal,179,Europe,Southern Europe,regions
Puerto_Rico,180,Americas,Caribbean,regions
Qatar,181,Asia,Western Asia,regions
Reunion,184,Africa,Eastern Africa,regions
Romania,185,Europe,Eastern Europe,regions
Russia,186,Europe,Eastern Europe,regions
Rwanda,187,Africa,Eastern Africa,regions
Saint_Barthelemy,NA,Americas,Caribbean,regions
Saint_Helena,188,Africa,Western Africa,regions
Saint_Kitts_and_Nevis,189,Americas,Caribbean,regions
Saint_Lucia,190,Americas,Caribbean,regions
Saint_Martin,NA,Americas,Caribbean,regions
Saint_Pierre_and_Miquelon,191,Americas,Northern America,regions
Saint_Vincent_and_the_Grenadines,192,Americas,Caribbean,regions
Samoa,193,Oceania,Polynesia,regions
San_Marino,194,Europe,Southern Europe,regions
Sao_Tome_and_Principe,195,Africa,Middle Africa,regions
Saudi_Arabia,196,Asia,Western Asia,regions
Senegal,197,Africa,Western Africa,regions
Serbia,198,Europe,Southern Europe,regions
Seychelles,199,Africa,Eastern Africa,regions
Sierra_Leone,200,Africa,Western Africa,regions
Singapore,201,Asia,South-Eastern Asia,regions
Saint_Maarten,NA,Americas,Caribbean,regions
Slovakia,202,Europe,Eastern Europe,regions
Slovenia,203,Europe,Southern Europe,regions
Solomon_Islands,204,Oceania,Melanesia,regions
Somalia,205,Africa,Eastern Africa,regions
South_Africa,206,Africa,Southern Africa,regions
South_Georgia_and_the_South_Sandwich_Islands,207,,,regions
South_Sudan,208,Africa,Eastern Africa,regions
Spain,209,Europe,Southern Europe,regions
Sri_Lanka,210,Asia,Southern Asia,regions
Sudan,212,Africa,Northern Africa,regions
Suriname,213,Americas,South America,regions
Svalbard_and_Jan_Mayen,214,Europe,Northern Europe,regions
Swaziland,215,Africa,Southern Africa,regions
Sweden,216,Europe,Northern Europe,regions
Switzerland,217,Europe,Western Europe,regions
Syrian_Arab_Republic,218,Asia,Western Asia,regions
Taiwan,219,Asia,Eastern Asia,regions
Tajikistan,220,Asia,Central Asia,regions
Tanzania,221,Africa,Eastern Africa,regions
Thailand,222,Asia,South-Eastern Asia,regions
Timor_Leste,223,Asia,South-Eastern Asia,regions
Togo,224,Africa,Western Africa,regions
Tokelau,225,Oceania,Polynesia,regions
Tonga,226,Oceania,Polynesia,regions
Trinidad_and_Tobago,227,Americas,Caribbean,regions
Tunisia,228,Africa,Northern Africa,regions
Turkey,229,Asia,Western Asia,regions
Turkmenistan,230,Asia,Central Asia,regions
Turks_Caicos_Islands,231,Americas,Caribbean,regions
Tuvalu,232,Oceania,Polynesia,regions
Uganda,233,Africa,Eastern Africa,regions
Ukraine,234,Europe,Eastern Europe,regions
United_Arab_Emirates,235,Asia,Western Asia,regions
United_Kingdom,236,Europe,Northern Europe,regions
US_minor_outlying_islands,239,,,regions
USA,238,Americas,Northern America,regions
Uruguay,237,Americas,South America,regions
Uzbekistan,240,Asia,Central Asia,regions
Vanuatu,241,Oceania,Melanesia,regions
Venezuela,243,Americas,South America,regions
Vietnam,244,Asia,South-Eastern Asia,regions
Virgin_Islands_UK,245,Americas,Caribbean,regions
Virgin_Islands_US,246,Americas,Caribbean,regions
Wallis_and_Futuna,247,Oceania,Polynesia,regions
Western_Sahara,248,Africa,Northern Africa,regions
Yemen,249,Asia,Western Asia,regions
Zambia,250,Africa,Eastern Africa,regions
Zimbabwe,251,Africa,Eastern Africa,regions
